team,elo,n_matches,last_date
Spain,2103.2,211,2026-06-04
Argentina,2084.4,214,2026-06-06
France,2011.4,212,2026-06-04
England,1976.8,200,2026-06-06
Brazil,1974.1,212,2026-06-06
Colombia,1962.0,184,2026-06-01
Morocco,1954.1,190,2026-06-02
Japan,1952.4,226,2026-05-31
Ecuador,1931.2,176,2026-05-30
Portugal,1930.7,205,2026-06-06
Mexico,1924.6,283,2026-06-04
Netherlands,1892.4,197,2026-06-03
Germany,1891.0,212,2026-06-06
Senegal,1889.1,186,2026-05-31
Uruguay,1882.8,195,2026-03-31
Iran,1881.1,188,2026-06-04
Australia,1871.8,185,2026-06-06
Nigeria,1870.0,205,2026-06-03
Algeria,1858.1,196,2026-06-03
Croatia,1856.9,192,2026-06-02
Norway,1856.1,163,2026-06-01
Turkey,1855.9,183,2026-06-06
South Korea,1855.6,228,2026-06-03
Switzerland,1848.7,183,2026-06-06
Belgium,1848.5,189,2026-06-06
Canada,1846.0,164,2026-06-05
Panama,1822.9,234,2026-06-06
Paraguay,1818.7,175,2026-06-05
Uzbekistan,1818.5,183,2026-06-01
Denmark,1809.5,181,2026-06-03
Ivory Coast,1799.3,194,2026-06-04
Italy,1799.3,200,2026-06-03
Egypt,1794.4,201,2026-06-06
Austria,1779.6,164,2026-06-01
United States,1771.2,254,2026-06-06
Jordan,1770.9,234,2026-05-31
Russia,1760.8,161,2026-06-05
DR Congo,1759.5,168,2026-06-03
Jersey,1751.2,45,2025-07-18
Iraq,1750.6,235,2026-06-04
Scotland,1737.3,156,2026-06-06
Ukraine,1734.0,173,2026-05-31
Costa Rica,1732.2,231,2026-06-01
Venezuela,1721.0,174,2026-06-06
Tunisia,1717.3,207,2026-06-06
Haiti,1714.2,130,2026-06-05
Cameroon,1711.1,192,2026-03-31
Isle of Man,1707.0,27,2025-07-18
Honduras,1701.1,212,2026-06-06
Chile,1698.1,202,2026-06-06
Greece,1696.8,170,2026-06-04
Mali,1696.6,157,2026-06-04
Serbia,1695.7,177,2026-06-04
Czech Republic,1692.2,176,2026-06-04
Occitania,1687.2,21,2014-12-30
New Zealand,1683.7,113,2026-06-06
Guernsey,1678.2,41,2023-07-13
Saudi Arabia,1676.4,227,2026-06-05
Peru,1675.7,190,2026-06-05
United Arab Emirates,1670.1,205,2025-12-15
Kosovo,1661.9,102,2026-05-31
Poland,1660.4,189,2026-06-03
Northern Cyprus,1659.5,20,2018-06-09
Jamaica,1657.8,201,2026-06-06
Sweden,1657.7,200,2026-06-04
Padania,1653.2,36,2019-06-08
South Africa,1652.1,209,2026-06-06
Republic of Ireland,1650.9,177,2026-06-05
Bolivia,1644.7,158,2026-06-06
Hungary,1644.6,165,2026-06-05
Burkina Faso,1644.4,182,2026-06-05
Guatemala,1642.5,160,2026-06-04
Cape Verde,1634.7,130,2026-06-06
Wales,1632.5,155,2026-06-06
Slovenia,1625.5,157,2026-06-04
Isle of Wight,1624.5,13,2023-07-13
Ynys Môn,1623.9,24,2025-07-17
Curaçao,1622.9,118,2026-06-06
Abkhazia,1622.3,33,2019-06-08
Iraqi Kurdistan,1622.1,18,2016-06-04
Syria,1617.0,172,2026-06-05
New Caledonia,1611.6,79,2026-03-26
Slovakia,1609.0,173,2026-06-05
Basque Country,1607.1,14,2025-11-15
Kárpátalja,1606.9,11,2018-06-09
Ghana,1605.9,191,2026-06-02
Georgia,1602.3,156,2026-06-05
Réunion,1601.4,27,2023-09-02
Palestine,1601.1,156,2026-06-06
Suriname,1600.2,99,2026-03-26
Tamil Eelam,1593.7,28,2025-07-04
Israel,1588.0,135,2026-06-03
Romania,1587.3,169,2026-06-06
Oman,1583.5,225,2026-06-05
County of Nice,1582.3,9,2015-06-21
Kurdistan,1580.5,5,2013-06-28
Panjab,1577.8,19,2019-12-29
Thailand,1577.4,193,2026-06-05
Angola,1573.5,160,2026-06-05
Guinea,1571.5,141,2026-06-04
Quebec,1571.3,3,2013-06-27
China,1565.1,180,2026-06-05
Ellan Vannin,1565.1,22,2018-06-03
Qatar,1564.5,248,2026-06-06
Albania,1564.0,162,2026-06-06
Zanzibar,1555.9,33,2025-01-13
Yorkshire,1552.8,7,2019-06-01
Guadeloupe,1551.1,83,2025-06-24
Northern Ireland,1551.0,150,2026-06-04
Chameria,1549.4,7,2023-07-01
Artsakh,1548.7,11,2019-06-08
Benin,1547.2,117,2026-06-05
Cascadia,1544.3,7,2019-05-25
Arameans Suryoye,1543.1,5,2014-06-08
Bahrain,1542.9,227,2026-06-05
Guyana,1541.3,107,2026-03-30
Trinidad and Tobago,1539.3,176,2026-05-30
Zambia,1538.4,206,2026-03-31
North Macedonia,1538.1,160,2026-06-01
Bosnia and Herzegovina,1536.9,158,2026-06-06
Malaysia,1536.5,182,2025-11-18
Gambia,1534.9,101,2026-05-29
Tahiti,1531.7,64,2025-03-21
Catalonia,1529.4,8,2019-03-25
Libya,1528.8,133,2026-03-31
Nicaragua,1528.6,119,2026-06-05
Maule Sur,1528.3,2,2022-06-19
Corsica,1526.0,6,2017-05-26
Vietnam,1524.8,154,2026-03-26
Iceland,1524.4,186,2026-05-31
Dominican Republic,1524.3,97,2026-06-03
Shetland,1524.3,20,2025-07-17
Menorca,1524.2,17,2023-07-13
Mayotte,1523.1,25,2023-08-26
Indonesia,1520.5,168,2026-06-05
Kernow,1520.0,2,2023-07-16
Surrey,1516.2,1,2018-05-06
North Korea,1515.2,132,2025-06-10
Biafra,1514.9,3,2022-05-25
Parishes of Jersey,1513.9,3,2019-06-02
Western Armenia,1513.3,16,2019-06-09
Gabon,1513.1,147,2026-03-30
Niger,1513.0,130,2026-06-05
Andalusia,1512.8,1,2013-06-07
Donetsk PR,1511.3,6,2017-08-31
Greenland,1511.1,21,2024-06-01
Madagascar,1508.5,121,2026-06-02
Mapuche,1508.5,2,2022-06-18
Uganda,1508.1,193,2025-12-30
