team,elo,n_matches,last_date
Elba Island,1506.9,1,2022-07-16
United Koreans in Japan,1503.5,12,2018-06-09
Provence,1503.2,12,2013-06-28
El Salvador,1501.3,182,2026-06-06
Felvidék,1501.3,12,2017-06-09
Délvidék,1500.0,2,2016-08-03
Gozo,1498.6,11,2025-07-17
Mozambique,1497.5,154,2026-01-05
Tajikistan,1496.2,126,2026-06-05
Sealand,1495.3,11,2014-08-10
Saugeais,1494.9,1,2013-06-29
Rhodes,1494.1,2,2011-06-27
Brittany,1493.1,4,2013-05-28
Cilento,1491.3,1,2011-12-29
Kuwait,1490.5,197,2026-06-05
Belarus,1490.3,163,2026-06-05
Székely Land,1489.8,27,2023-07-02
Lebanon,1489.7,156,2025-11-26
Luhansk PR,1488.4,6,2019-12-08
Monaco,1488.2,8,2017-04-29
Finland,1487.8,173,2026-06-05
Madrid,1487.2,1,2013-06-07
Seborga,1486.7,1,2014-08-10
Martinique,1485.1,95,2026-03-29
Matabeleland,1484.1,8,2022-05-25
Yoruba Nation,1483.6,2,2022-05-23
Kyrgyzstan,1483.4,111,2026-06-06
Sierra Leone,1482.4,89,2026-06-06
Galicia,1480.3,4,2024-05-21
Orkney,1480.3,15,2025-07-17
Franconia,1479.9,3,2019-06-25
Papua New Guinea,1479.7,54,2025-11-23
West Papua,1474.4,2,2022-11-13
Togo,1474.2,127,2026-06-05
Ryūkyū,1474.0,1,2016-11-26
Somaliland,1473.7,6,2019-05-04
Comoros,1473.1,120,2026-03-31
Sudan,1472.4,153,2026-01-03
Saare County,1472.1,11,2017-06-29
Zimbabwe,1471.0,144,2026-05-30
Kenya,1469.9,162,2026-06-04
South Ossetia,1467.3,17,2019-12-08
Hmong,1463.9,3,2023-08-08
Aymara,1463.2,2,2022-06-19
French Guiana,1462.5,86,2024-11-19
Kabylia,1461.7,6,2018-06-09
East Turkestan,1459.1,5,2025-07-04
Vanuatu,1458.4,61,2026-06-06
Romani people,1451.8,6,2016-05-16
Equatorial Guinea,1448.9,121,2026-03-31
Sápmi,1448.2,16,2023-07-16
Åland Islands,1447.7,16,2023-07-13
Fiji,1445.2,82,2026-06-06
Cuba,1444.9,125,2026-03-29
Turkmenistan,1443.7,75,2025-11-18
Saint Barthélemy,1441.4,10,2023-03-10
Bulgaria,1440.4,147,2026-06-05
Hitra,1439.6,15,2025-07-17
Rwanda,1438.3,135,2026-03-30
Malawi,1433.6,172,2026-06-06
Vatican City,1433.3,6,2019-03-23
Gotland,1432.8,12,2017-06-29
Western Isles,1431.3,21,2025-07-17
Puerto Rico,1428.7,81,2026-06-05
Mauritania,1427.2,124,2026-06-05
Liberia,1422.7,96,2026-06-06
Marshall Islands,1419.9,2,2025-08-16
Kazakhstan,1418.3,143,2026-06-06
Lesotho,1417.4,136,2026-06-04
Philippines,1416.6,170,2026-06-03
Tanzania,1415.7,178,2026-03-29
Namibia,1413.9,134,2026-03-28
Saint Martin,1413.3,44,2026-03-29
Raetia,1412.8,26,2023-08-06
Hong Kong,1410.3,137,2026-06-05
Ticino,1410.3,2,2023-08-06
Saint Vincent and the Grenadines,1409.8,88,2026-03-29
Western Sahara,1409.3,8,2013-06-28
Montenegro,1404.8,144,2026-06-05
Two Sicilies,1398.6,6,2023-07-02
Ethiopia,1398.1,138,2026-06-06
Yemen,1393.4,123,2025-11-26
Burundi,1387.8,108,2026-05-26
Botswana,1385.0,163,2026-03-31
Sint Maarten,1382.0,37,2026-03-30
Solomon Islands,1379.7,86,2026-03-30
Bermuda,1371.3,79,2026-06-06
Central African Republic,1368.2,86,2026-06-05
Singapore,1366.5,174,2026-06-05
Guinea-Bissau,1362.2,94,2026-03-31
Kiribati,1360.8,4,2011-09-05
Chagos Islands,1359.1,16,2019-12-29
Samoa,1352.8,32,2024-11-18
Barawa,1351.7,12,2019-05-25
Saint Helena,1349.2,8,2023-07-13
Luxembourg,1348.3,153,2026-06-06
Belize,1346.5,84,2026-03-30
Eswatini,1332.2,118,2025-10-13
Grenada,1331.4,103,2026-05-16
Afghanistan,1330.4,97,2026-06-01
Tibet,1326.1,13,2025-07-03
Congo,1325.6,99,2025-10-14
Saint Kitts and Nevis,1325.5,99,2026-03-30
Faroe Islands,1323.9,130,2026-06-06
Armenia,1320.2,145,2026-06-06
Estonia,1316.1,196,2026-06-06
Montserrat,1311.8,46,2025-06-10
Aruba,1303.4,66,2026-06-06
Saint Pierre and Miquelon,1302.9,7,2012-09-28
Azerbaijan,1300.6,156,2026-06-05
Cook Islands,1298.9,20,2024-09-06
Falkland Islands,1298.1,20,2023-07-13
Tuvalu,1291.6,25,2023-11-30
India,1286.1,156,2026-06-05
Eritrea,1283.7,13,2019-09-10
Frøya,1281.5,15,2025-07-17
South Sudan,1280.5,78,2025-11-25
Saint Lucia,1271.5,77,2026-03-27
Darfur,1263.9,7,2014-06-07
Cyprus,1258.6,140,2026-06-04
Dominica,1253.6,73,2026-03-30
Malta,1251.2,146,2026-06-05
Chad,1248.8,61,2025-11-17
Latvia,1244.4,158,2026-06-06
Mauritius,1241.8,97,2025-10-13
Myanmar,1241.6,143,2026-06-06
Bangladesh,1235.1,120,2026-06-05
Lithuania,1232.1,155,2026-06-06
Alderney,1217.4,33,2022-04-23
Tonga,1216.6,23,2024-09-09
Moldova,1215.9,162,2026-06-05
Bonaire,1210.3,44,2026-06-06
Northern Mariana Islands,1208.2,21,2024-04-07
São Tomé and Príncipe,1206.2,49,2025-10-13
Barbados,1205.3,93,2026-03-29
Nepal,1204.8,121,2025-11-18
Cambodia,1195.7,124,2026-06-04
Pakistan,1188.4,60,2026-06-01
Somalia,1181.1,41,2025-11-26
Antigua and Barbuda,1171.9,90,2025-11-18
Taiwan,1165.2,92,2025-11-18
Djibouti,1160.4,50,2025-11-26
Sri Lanka,1155.5,88,2025-11-18
British Virgin Islands,1145.1,58,2026-06-06
Guam,1139.7,65,2026-06-06
American Samoa,1137.3,24,2026-03-28
Mongolia,1135.7,60,2026-06-05
Cayman Islands,1132.8,49,2026-06-06
Maldives,1116.5,119,2026-06-01
United States Virgin Islands,1097.4,52,2026-03-28
Timor-Leste,1094.2,71,2025-11-18
Brunei,1092.4,53,2025-11-18
Turks and Caicos Islands,1090.2,40,2025-08-16
Laos,1085.9,112,2025-11-19
Gibraltar,1070.6,116,2026-06-06
Andorra,1065.3,140,2026-06-04
Seychelles,1051.4,90,2025-10-14
Macau,1049.5,58,2026-03-29
Bahamas,1045.1,43,2026-03-29
Bhutan,1039.3,61,2026-06-04
Anguilla,1027.7,56,2026-03-29
Liechtenstein,905.5,139,2026-06-04
San Marino,866.1,126,2026-06-05
