team_a,team_b,played,a_wins,draws,b_wins,a_goals,b_goals,last_meeting,last_score,last_tournament
Mexico,Uzbekistan,1,0,1,0,3,3,2023-09-12,Mexico 3-3 Uzbekistan,Friendly
Morocco,Paraguay,2,1,1,0,2,1,2026-03-31,Morocco 2-1 Paraguay,Friendly
Morocco,Portugal,1,1,0,0,1,0,2022-12-10,Morocco 1-0 Portugal,FIFA World Cup
Morocco,Saudi Arabia,1,1,0,0,1,0,2025-12-08,Morocco 1-0 Saudi Arabia,Arab Cup
Morocco,Senegal,1,1,0,0,3,0,2026-01-18,Morocco 3-0 Senegal,African Cup of Nations
Morocco,South Africa,3,1,0,2,3,5,2024-01-30,Morocco 0-2 South Africa,African Cup of Nations
Morocco,Spain,1,0,1,0,0,0,2022-12-06,Morocco 0-0 Spain,FIFA World Cup
Morocco,Tunisia,1,1,0,0,2,0,2025-06-06,Morocco 2-0 Tunisia,Friendly
Netherlands,Norway,1,1,0,0,2,1,2026-03-27,Netherlands 2-1 Norway,Friendly
Netherlands,Qatar,1,1,0,0,2,0,2022-11-29,Qatar 0-2 Netherlands,FIFA World Cup
Netherlands,Scotland,1,1,0,0,4,0,2024-03-22,Netherlands 4-0 Scotland,Friendly
Netherlands,Senegal,1,1,0,0,2,0,2022-11-21,Senegal 0-2 Netherlands,FIFA World Cup
Netherlands,Spain,2,0,2,0,5,5,2025-03-23,Spain 3-3 Netherlands,UEFA Nations League
Netherlands,Turkey,1,1,0,0,2,1,2024-07-06,Netherlands 2-1 Turkey,UEFA Euro
Netherlands,United States,1,1,0,0,3,1,2022-12-03,Netherlands 3-1 United States,FIFA World Cup
New Zealand,Norway,1,0,1,0,1,1,2025-10-14,Norway 1-1 New Zealand,Friendly
New Zealand,Sweden,1,0,0,1,1,4,2023-06-16,Sweden 4-1 New Zealand,Friendly
New Zealand,Tunisia,1,0,1,0,0,0,2024-03-26,New Zealand 0-0 Tunisia,FIFA Series
New Zealand,United States,1,0,1,0,1,1,2024-09-10,United States 1-1 New Zealand,Friendly
Norway,Scotland,2,0,1,1,4,5,2023-11-19,Scotland 3-3 Norway,UEFA Euro qualification
Norway,Spain,2,0,0,2,0,4,2023-10-15,Norway 0-1 Spain,UEFA Euro qualification
Norway,Sweden,2,2,0,0,6,3,2026-06-01,Norway 3-1 Sweden,Friendly
Norway,Switzerland,1,0,1,0,0,0,2026-03-31,Norway 0-0 Switzerland,Friendly
Panama,Paraguay,1,0,0,1,0,1,2024-06-16,Panama 0-1 Paraguay,Friendly
Panama,Qatar,2,1,0,1,5,2,2023-07-08,Panama 4-0 Qatar,Gold Cup
Panama,Saudi Arabia,1,0,1,0,1,1,2022-11-10,Saudi Arabia 1-1 Panama,Friendly
Panama,South Africa,2,1,1,0,3,2,2026-03-31,South Africa 1-2 Panama,Friendly
Panama,United States,4,2,1,1,4,4,2025-03-20,United States 0-1 Panama,CONCACAF Nations League
Panama,Uruguay,2,0,0,2,1,8,2024-06-23,Uruguay 3-1 Panama,Copa América
Paraguay,South Korea,2,0,1,1,2,4,2025-10-14,South Korea 2-0 Paraguay,Friendly
Paraguay,United States,1,0,0,1,1,2,2025-11-15,United States 2-1 Paraguay,Friendly
Paraguay,Uruguay,2,1,1,0,2,0,2025-06-05,Paraguay 2-0 Uruguay,FIFA World Cup qualification
Portugal,Scotland,2,1,1,0,2,1,2024-10-15,Scotland 0-0 Portugal,UEFA Nations League
Portugal,South Korea,1,0,0,1,1,2,2022-12-02,South Korea 2-1 Portugal,FIFA World Cup
Portugal,Spain,2,0,1,1,2,3,2025-06-08,Portugal 2-2 Spain,UEFA Nations League
Portugal,Sweden,1,1,0,0,5,2,2024-03-21,Portugal 5-2 Sweden,Friendly
Portugal,Switzerland,2,1,0,1,6,2,2022-12-06,Portugal 6-1 Switzerland,FIFA World Cup
Portugal,Turkey,1,1,0,0,3,0,2024-06-22,Turkey 0-3 Portugal,UEFA Euro
Portugal,United States,1,1,0,0,2,0,2026-03-31,United States 0-2 Portugal,Friendly
Portugal,Uruguay,1,1,0,0,2,0,2022-11-28,Portugal 2-0 Uruguay,FIFA World Cup
Qatar,Senegal,1,0,0,1,1,3,2022-11-25,Qatar 1-3 Senegal,FIFA World Cup
Qatar,Tunisia,1,0,0,1,0,3,2025-12-07,Qatar 0-3 Tunisia,Arab Cup
Qatar,Uzbekistan,3,1,1,1,4,6,2025-06-10,Uzbekistan 3-0 Qatar,FIFA World Cup qualification
Saudi Arabia,South Korea,2,0,1,1,1,2,2024-01-30,Saudi Arabia 1-1 South Korea,AFC Asian Cup
Saudi Arabia,United States,2,0,1,1,0,1,2025-06-19,United States 1-0 Saudi Arabia,Gold Cup
Scotland,Spain,2,1,0,1,2,2,2023-10-12,Spain 2-0 Scotland,UEFA Euro qualification
Scotland,Switzerland,1,0,1,0,1,1,2024-06-19,Scotland 1-1 Switzerland,UEFA Euro
Scotland,Turkey,1,0,0,1,1,2,2022-11-16,Turkey 2-1 Scotland,Friendly
Senegal,United States,1,0,0,1,2,3,2026-05-31,United States 3-2 Senegal,Friendly
South Africa,Tunisia,1,0,1,0,0,0,2024-01-24,South Africa 0-0 Tunisia,African Cup of Nations
South Korea,Tunisia,1,1,0,0,4,0,2023-10-13,South Korea 4-0 Tunisia,Friendly
South Korea,United States,1,1,0,0,2,0,2025-09-06,United States 0-2 South Korea,Friendly
South Korea,Uruguay,2,0,1,1,1,2,2023-03-28,South Korea 1-2 Uruguay,Friendly
Spain,Switzerland,4,3,0,1,9,5,2024-11-18,Spain 3-2 Switzerland,UEFA Nations League
Spain,Turkey,2,1,1,0,8,2,2025-11-18,Spain 2-2 Turkey,FIFA World Cup qualification
Sweden,Switzerland,2,0,0,2,1,6,2025-11-15,Switzerland 4-1 Sweden,FIFA World Cup qualification
Switzerland,United States,1,1,0,0,4,0,2025-06-10,United States 0-4 Switzerland,Friendly
Turkey,United States,1,1,0,0,2,1,2025-06-07,United States 1-2 Turkey,Friendly
United States,Uruguay,2,1,0,1,5,2,2025-11-18,United States 5-1 Uruguay,Friendly
United States,Uzbekistan,1,1,0,0,3,0,2023-09-09,United States 3-0 Uzbekistan,Friendly
Uruguay,Uzbekistan,1,1,0,0,2,1,2025-10-13,Uzbekistan 1-2 Uruguay,Friendly
