team_a,team_b,played,a_wins,draws,b_wins,a_goals,b_goals,last_meeting,last_score,last_tournament
Belgium,Canada,1,1,0,0,1,0,2022-11-23,Belgium 1-0 Canada,FIFA World Cup
Belgium,Croatia,2,1,1,0,2,0,2026-06-02,Croatia 0-2 Belgium,Friendly
Belgium,Egypt,1,0,0,1,1,2,2022-11-18,Egypt 2-1 Belgium,Friendly
Belgium,England,1,0,1,0,2,2,2024-03-26,England 2-2 Belgium,Friendly
Belgium,France,3,0,0,3,1,5,2024-10-14,Belgium 1-2 France,UEFA Nations League
Belgium,Germany,1,1,0,0,3,2,2023-03-28,Germany 2-3 Belgium,Friendly
Belgium,Mexico,1,0,1,0,1,1,2026-03-31,Mexico 1-1 Belgium,Friendly
Belgium,Morocco,1,0,0,1,0,2,2022-11-27,Belgium 0-2 Morocco,FIFA World Cup
Belgium,Netherlands,1,0,0,1,0,1,2022-09-25,Netherlands 1-0 Belgium,UEFA Nations League
Belgium,Sweden,2,1,1,0,4,1,2023-10-16,Belgium 1-1 Sweden,UEFA Euro qualification
Belgium,Tunisia,1,1,0,0,5,0,2026-06-06,Belgium 5-0 Tunisia,Friendly
Belgium,United States,1,1,0,0,5,2,2026-03-28,United States 2-5 Belgium,Friendly
Bosnia and Herzegovina,England,1,0,0,1,0,3,2024-06-03,England 3-0 Bosnia and Herzegovina,Friendly
Bosnia and Herzegovina,Germany,2,0,0,2,1,9,2024-11-16,Germany 7-0 Bosnia and Herzegovina,UEFA Nations League
Bosnia and Herzegovina,Netherlands,2,0,1,1,3,6,2024-11-19,Bosnia and Herzegovina 1-1 Netherlands,UEFA Nations League
Bosnia and Herzegovina,Panama,1,0,1,0,1,1,2026-06-06,Panama 1-1 Bosnia and Herzegovina,Friendly
Bosnia and Herzegovina,Portugal,2,0,0,2,0,8,2023-10-16,Bosnia and Herzegovina 0-5 Portugal,UEFA Euro qualification
Brazil,Colombia,3,1,1,1,4,4,2025-03-20,Brazil 2-1 Colombia,FIFA World Cup qualification
Brazil,Croatia,2,1,1,0,4,2,2026-03-31,Brazil 3-1 Croatia,Friendly
Brazil,Ecuador,2,1,1,0,1,0,2025-06-05,Ecuador 0-0 Brazil,FIFA World Cup qualification
Brazil,Egypt,1,1,0,0,2,1,2026-06-06,Brazil 2-1 Egypt,Friendly
Brazil,England,1,1,0,0,1,0,2024-03-23,England 0-1 Brazil,Friendly
Brazil,France,1,0,0,1,1,2,2026-03-26,Brazil 1-2 France,Friendly
Brazil,Ghana,1,1,0,0,3,0,2022-09-23,Brazil 3-0 Ghana,Friendly
Brazil,Japan,1,0,0,1,2,3,2025-10-14,Japan 3-2 Brazil,Kirin Cup
Brazil,Mexico,1,1,0,0,3,2,2024-06-08,Mexico 2-3 Brazil,Friendly
Brazil,Morocco,1,0,0,1,1,2,2023-03-25,Morocco 2-1 Brazil,Friendly
Brazil,Panama,1,1,0,0,6,2,2026-05-31,Brazil 6-2 Panama,Friendly
Brazil,Paraguay,3,2,0,1,5,2,2025-06-10,Brazil 1-0 Paraguay,FIFA World Cup qualification
Brazil,Senegal,2,1,0,1,4,4,2025-11-15,Brazil 2-0 Senegal,Friendly
Brazil,South Korea,2,2,0,0,9,1,2025-10-10,South Korea 0-5 Brazil,Friendly
Brazil,Spain,1,0,1,0,3,3,2024-03-26,Spain 3-3 Brazil,Friendly
Brazil,Switzerland,1,1,0,0,1,0,2022-11-28,Brazil 1-0 Switzerland,FIFA World Cup
Brazil,Tunisia,2,1,1,0,6,2,2025-11-18,Brazil 1-1 Tunisia,Friendly
Brazil,United States,1,0,1,0,1,1,2024-06-12,United States 1-1 Brazil,Friendly
Brazil,Uruguay,3,0,2,1,1,3,2024-11-19,Brazil 1-1 Uruguay,FIFA World Cup qualification
Canada,Colombia,1,0,1,0,0,0,2025-10-14,Canada 0-0 Colombia,Friendly
Canada,Croatia,1,0,0,1,1,4,2022-11-27,Croatia 4-1 Canada,FIFA World Cup
