match_id,date,home_team,away_team,competition,sb_stage,sb_match_week,stadium,referee,home_xg,away_xg,home_shots,away_shots,home_sot,away_sot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,home_passes,away_passes,home_goals_sb,away_goals_sb,possession_note
588eaf7dd9,2024-06-21,Netherlands,France,UEFA Euro 2024,Group Stage,2,Trainingszentrum RB Leipzig Platz 1,Anthony Taylor,0.738,1.218,9,15,4,3,3,6,14,9,1,0,0,0,424,697,0,0,not in open data; use pass share as proxy
fcba2409cc,2024-06-21,Poland,Austria,UEFA Euro 2024,Group Stage,2,Olympiastadion Berlin,Halil Umut Meler,1.438,1.822,15,15,3,9,4,3,15,17,4,2,0,0,428,488,1,3,not in open data; use pass share as proxy
0badcd4b37,2024-06-22,Belgium,Romania,UEFA Euro 2024,Group Stage,2,RheinEnergieStadion,Szymon Marciniak,1.646,1.246,20,14,9,4,7,7,12,14,1,2,0,0,483,387,2,0,not in open data; use pass share as proxy
645ebe0ce8,2024-06-22,Ecuador,Venezuela,Copa America 2024,Group Stage,1,Levi''s Stadium,Wilmar Alexander Roldán Pérez,0.736,1.585,9,14,4,5,3,5,21,18,2,2,1,0,298,550,1,2,not in open data; use pass share as proxy
5b4d37e4ca,2024-06-22,Georgia,Czech Republic,UEFA Euro 2024,Group Stage,2,Volksparkstadion,Daniel Siebert,1.18,2.865,5,27,1,11,5,11,13,17,4,5,0,0,353,567,1,1,not in open data; use pass share as proxy
9dc020df3e,2024-06-22,Mexico,Jamaica,Copa America 2024,Group Stage,1,NRG Stadium,Ismail Elfath,1.136,0.506,20,13,9,4,7,6,8,7,0,0,0,0,565,375,1,0,not in open data; use pass share as proxy
1633bfe212,2024-06-22,Turkey,Portugal,UEFA Euro 2024,Group Stage,2,Signal-Iduna-Park,Felix Zwayer,0.779,1.901,11,12,3,3,9,1,19,8,3,2,0,0,468,610,0,3,not in open data; use pass share as proxy
2701a1d0a7,2024-06-23,Germany,Switzerland,UEFA Euro 2024,Group Stage,3,Deutsche Bank Park,Daniele Orsato,1.542,0.28,18,4,3,3,9,2,12,15,1,3,0,0,690,367,1,1,not in open data; use pass share as proxy
856465a2db,2024-06-23,Scotland,Hungary,UEFA Euro 2024,Group Stage,3,MHPArena,Facundo Tello Figueroa,0.184,1.001,4,14,0,5,2,6,16,14,1,5,0,0,539,405,0,1,not in open data; use pass share as proxy
1f46682aee,2024-06-23,United States,Bolivia,Copa America 2024,Group Stage,1,AT&T Stadium,Maurizio Mariani,2.405,0.15,20,6,8,3,7,1,11,20,1,4,0,0,581,391,2,0,not in open data; use pass share as proxy
f782810998,2024-06-23,Uruguay,Panama,Copa America 2024,Group Stage,1,Hard Rock Stadium,Piero Maza Gomez,1.361,0.541,20,10,7,3,9,3,17,13,0,1,0,0,448,377,3,1,not in open data; use pass share as proxy
da37c7f525,2024-06-24,Albania,Spain,UEFA Euro 2024,Group Stage,3,Merkur Spiel-Arena,Glenn Nyberg,0.503,0.952,10,16,4,3,2,7,8,17,2,1,0,0,432,630,0,1,not in open data; use pass share as proxy
867b6f1482,2024-06-24,Brazil,Costa Rica,Copa America 2024,Group Stage,1,SoFi Stadium,César Arturo Ramos Palazuelos,1.621,0.037,20,2,3,0,9,1,13,15,1,2,0,0,748,262,0,0,not in open data; use pass share as proxy
a1300e5717,2024-06-24,Colombia,Paraguay,Copa America 2024,Group Stage,1,NRG Stadium,Darío Herrera,0.622,0.828,11,11,3,3,3,3,10,20,1,2,0,0,561,291,2,1,not in open data; use pass share as proxy
c2b157dac5,2024-06-24,Croatia,Italy,UEFA Euro 2024,Group Stage,3,Red Bull Arena,Danny Desmond Makkelie,1.483,0.985,6,13,4,3,2,11,23,10,6,2,0,0,545,608,1,1,not in open data; use pass share as proxy
f31bca74d6,2024-06-25,Chile,Argentina,Copa America 2024,Group Stage,2,MetLife Stadium,Andrés Matonte,0.131,2.784,3,22,3,9,0,11,13,9,2,0,0,0,393,595,0,1,not in open data; use pass share as proxy
64e7833f1d,2024-06-25,England,Slovenia,UEFA Euro 2024,Group Stage,3,RheinEnergieStadion,Clément Turpin,0.756,0.165,12,4,3,1,6,0,12,10,3,2,0,0,790,295,0,0,not in open data; use pass share as proxy
